submission,overall_rate,min_rate,worst_type,score
371333_HCMUS_TheFangs,0.968,0.94,0,0.954
417856_alluding123,0.864,0.65,3,0.757
366999_pingsheng-li,0.802,0.67,1,0.736
358774_sazeglio,0.872,0.6,0,0.736
336155_all_awareness,0.87,0.45,1,0.66
SuperMice3_simpleCNN,0.802,0.45,1,0.626
425047_drumplstiltskin,0.844,0.39,3,0.617
SuperMice2_ResNet,0.74,0.49,2,0.615
397797_utsab,0.494,0.39,3,0.442
352920_aaravg42,0.53,0.32,3,0.425
419960_utsab77,0.546,0.21,4,0.378
337833_pajucg2,0.49,0.26,0,0.375
341494_cclin,0.498,0.19,4,0.344
SuperMice_natureCNN,0.26,0.23,1,0.245
385491_aerove,0.256,0.21,2,0.233
355114_trungkiet93,0.258,0.19,4,0.224
355979_dsadreddinov,0.184,0.16,3,0.172
397764_rewardisenough,0.118,0.09,4,0.104
370027_tstst,0.084,0.07,2,0.077
356381_gg_12345,0.032,0.0,0,0.016
350156_kx2141,0.0,0.0,0,0.0
353883_saidineshpola,0.0,0.0,0,0.0
365438_ashish_gupta,0.0,0.0,0,0.0
